id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,review_val,rating,text_review
22958516,Center of it all Bushwick apartment,170095185,Aaron,Brooklyn,Bushwick,40.70733,-73.92028,Private room,29,2,3,2/21/2018,0.17,1,0,4.5,1.5,
22928463,Great apartment in Bushwick available in Feb,35510045,Aaron,Brooklyn,Bushwick,40.705,-73.91933,Private room,27,14,1,,,1,0,1,1,
30377021,Shared Room 4 FEMALE Guests 30mins to Manhattan-2,172369331,Abby,Brooklyn,Sheepshead Bay,40.5981,-73.9584,Shared room,25,7,2,6/1/2019,1.15,10,290,3,1.5,
33429492,FEMALE SHARED ROOM 3 Single Beds Near Subway-1,172369331,Abby,Brooklyn,Coney Island,40.57776,-73.98313,Shared room,25,3,2,6/11/2019,1.05,10,0,3,1.5,
34601569,Shared Room 4 FEMALE Guests 30mins to Manhattan-1,172369331,Abby,Brooklyn,Sheepshead Bay,40.59842,-73.95667,Shared room,20,2,1,6/1/2019,0.77,10,342,1.5,1.5,
34413482,1 Bed in the Living Room Shared Stay for Male,172369331,Abby,Brooklyn,Coney Island,40.57607,-73.9833,Shared room,25,5,1,5/31/2019,0.75,10,129,1.5,1.5,
30548591,FEMALE SHARED ROOM3 Single Beds Near Subway-3,172369331,Abby,Brooklyn,Coney Island,40.57863,-73.98455,Shared room,29,18,1,2/15/2019,0.21,10,221,1.5,1.5,
34647648,Shared Apartment 1 bed in the living room Qsubway,172369331,Abby,Brooklyn,Sheepshead Bay,40.59932,-73.95936,Shared room,20,7,1,,,10,281,1,1,
20639792,Contemporary bedroom in brownstone with nice view,86327101,Adeyemi,Brooklyn,Bedford-Stuyvesant,40.68279,-73.9117,Private room,50,1,95,6/21/2019,4.37,6,232,351.5,3.7,
20639914,Cozy yet spacious private brownstone bedroom,86327101,Adeyemi,Brooklyn,Bedford-Stuyvesant,40.68258,-73.91284,Private room,50,1,95,6/23/2019,4.35,6,222,351.5,3.7,
20639628,Spacious comfortable master bedroom with nice view,86327101,Adeyemi,Brooklyn,Bedford-Stuyvesant,40.68173,-73.91342,Private room,50,1,93,6/15/2019,4.28,6,176,344.1,3.7,
13859196,Cozy Room In the Heart of Astoria,28003040,Adrian,Queens,Astoria,40.76249,-73.91176,Private room,30,2,56,10/1/2017,1.57,1,0,207.2,3.7,
22638442,A Brief Welcome,22445332,Adrian,Brooklyn,Crown Heights,40.67157,-73.93434,Private room,25,1,1,1/17/2018,0.06,1,0,1.5,1.5,
29414633,private room,221574115,Ahmet,Brooklyn,Bensonhurst,40.61208,-74.00181,Shared room,15,10,1,,,2,0,1,1,
34180340,Sunny & Spacious Room,181233778,Aishah,Bronx,Belmont,40.85595,-73.88519,Private room,27,30,1,,,1,68,1,1,
23253216,Artsy Queen Room in BUSHWICK: Jefferson L train,9484908,Aj,Queens,Ridgewood,40.70991,-73.91832,Private room,30,3,13,6/19/2019,0.84,2,65,19.5,1.5,
16465524,Shared Room in Brooklyn,40871485,Ajay,Brooklyn,Bay Ridge,40.63821,-74.0273,Shared room,22,5,1,1/14/2017,0.03,1,0,1.5,1.5,
31194144,Brooklyn apt 10 mins to Manhattan by subway,129022496,Alan,Brooklyn,Bedford-Stuyvesant,40.67872,-73.94805,Private room,20,10,8,7/1/2019,1.4,2,38,12,1.5,
31181911,Brooklyn apt 10 minutes to Manhattan by subway,129022496,Alan,Brooklyn,Bedford-Stuyvesant,40.68093,-73.94922,Private room,20,10,3,5/8/2019,0.57,2,17,4.5,1.5,
11959854,Affordable Private Cozy Room!,45990565,Alba & Genesis,Bronx,Morris Heights,40.8522,-73.91014,Private room,26,3,21,6/8/2019,0.64,2,127,52.5,2.5,
25776914,BROOKLYN Quiet Den,12219437,Alex,Brooklyn,Canarsie,40.64795,-73.89337,Private room,25,2,36,6/16/2019,2.76,1,144,90,2.5,
8993857,Comfy place to stay in Brooklyn / Flatbush / 4,27974952,Alex,Brooklyn,East Flatbush,40.64601,-73.94886,Shared room,25,30,8,7/1/2017,0.18,7,343,12,1.5,
9077858,Beautiful shared apartment / Coliving in Brooklyn,27974952,Alex,Brooklyn,East Flatbush,40.64509,-73.94825,Shared room,27,30,7,3/20/2019,0.16,7,342,10.5,1.5,
9369514,STARTUP CHEAP PLACE BROOKLYN,27974952,Alex,Brooklyn,East Flatbush,40.64603,-73.94869,Shared room,25,30,5,5/8/2018,0.12,7,365,7.5,1.5,
22279575,Comfort convenience elegance near Prospect Park,96379938,Alexander,Brooklyn,East Flatbush,40.65381,-73.94819,Private room,30,2,48,1/3/2019,2.58,2,0,177.6,3.7,
33002617,Room for 2  Per diem $50 rental up to 30 days max,248385708,Alexander,Brooklyn,Sheepshead Bay,40.60331,-73.95082,Private room,21,1,2,5/26/2019,1.02,1,90,3,1.5,
22366842,Fully equipped room that's 3 mins from L train!,10994664,Alexander,Brooklyn,Bushwick,40.69208,-73.90452,Shared room,29,30,1,12/11/2018,0.14,8,334,1.5,1.5,
9697749,Private bedroom in BedStuy!,43380791,Ali,Brooklyn,Bedford-Stuyvesant,40.68762,-73.92318,Private room,28,10,1,1/6/2016,0.02,1,0,1.5,1.5,
8402207,BEDROOM PRIVATE COMFY NEAR 6 TRAIN NO CURFEW,44260966,Alicia,Bronx,Soundview,40.82939,-73.86514,Private room,28,2,98,6/21/2019,2.12,3,108,362.6,3.7,
23071191,Simple and clean WaHi living room!,92192182,Alyssa,Manhattan,Washington Heights,40.84697,-73.93776,Shared room,29,1,13,6/18/2018,0.75,2,0,19.5,1.5,
9838920,1 bedroom in Morningside Apartment,12745771,Amanda,Manhattan,Washington Heights,40.85509,-73.93236,Private room,28,1,1,12/31/2015,0.02,1,0,1.5,1.5,
19593009,Simple Cost-friendly Private Room FEMALES ONLY,125653581,Amanda,Bronx,Norwood,40.8774,-73.87537,Private room,29,2,1,7/16/2017,0.04,1,0,1.5,1.5,
26430901,Hustler's Paradise 003 Private Room Lower Level,104927746,Amardeep,Staten Island,Concord,40.59691,-74.087,Private room,30,4,26,6/25/2019,2.14,7,359,65,2.5,
33638326,Hustler's Paradise 2 (Semi Private),104927746,Amardeep,Staten Island,Concord,40.597,-74.08778,Shared room,29,1,1,,,7,2,1,1,
7111050,Cozy Couch In Great Space Perfect For Backpackers,34546849,Amber,Brooklyn,Bedford-Stuyvesant,40.68828,-73.92989,Shared room,29,2,102,7/1/2019,2.11,3,288,438.6,4.3,
18835820,Quiet Cozy UES Studio Near the Subway,52777892,Amy,Manhattan,Upper East Side,40.76844,-73.95341,Entire home/apt,10,3,10,10/22/2018,0.39,1,0,15,1.5,
26994354,Nice bunk spot in heart if Brooklyn,201015598,Anchor,Brooklyn,Bedford-Stuyvesant,40.69206,-73.94072,Shared room,30,1,45,6/17/2019,3.99,17,84,166.5,3.7,
26753081,Trendy Nabe Bunk for travelers,201015598,Anchor,Brooklyn,Bedford-Stuyvesant,40.69124,-73.93911,Shared room,21,1,35,6/20/2019,2.92,17,78,87.5,2.5,
26734288,Super cool shared apartment,201015598,Anchor,Brooklyn,Bedford-Stuyvesant,40.69099,-73.94094,Shared room,30,2,32,6/23/2019,2.66,17,85,80,2.5,
26994076,Brooklyn Magic Bunk Share,201015598,Anchor,Brooklyn,Bedford-Stuyvesant,40.69052,-73.94149,Shared room,30,1,32,6/21/2019,2.74,17,83,80,2.5,
29541280,One block from subway: bed for traveler,201015598,Anchor,Brooklyn,Bedford-Stuyvesant,40.67745,-73.90958,Shared room,24,1,14,6/16/2019,1.65,17,89,21,1.5,
30002830,Bunk bed spot one block from subway,201015598,Anchor,Brooklyn,Bedford-Stuyvesant,40.67916,-73.9114,Shared room,24,1,11,6/17/2019,1.49,17,85,16.5,1.5,
32777705,Good Brooklyn shared apartment close to train,201015598,Anchor,Brooklyn,Bedford-Stuyvesant,40.67668,-73.91243,Shared room,28,1,5,6/8/2019,1.5,17,89,7.5,1.5,
31101775,Apartment share close to train station,201015598,Anchor,Brooklyn,Bedford-Stuyvesant,40.67862,-73.91233,Shared room,27,1,4,6/10/2019,0.63,17,89,6,1.5,
28096650,Small Bedroom in Beautiful Duplex,212232139,Andrea,Brooklyn,Bedford-Stuyvesant,40.67812,-73.9168,Private room,30,3,7,6/27/2019,0.68,1,2,10.5,1.5,
34089853,Quaint And Cozy Stop Over,242296495,Angela,Brooklyn,East Flatbush,40.64979,-73.93299,Private room,28,1,13,7/7/2019,5.49,3,49,19.5,1.5,
20333471,a Hostel Style Room Ideal Traveling Buddies,131697576,Anisha,Bronx,East Morrisania,40.83296,-73.88668,Private room,50,2,55,6/24/2019,2.56,4,127,203.5,3.7,
13058496,Sunny Private Room in Brooklyn,72315258,Anna,Brooklyn,Crown Heights,40.67619,-73.93866,Private room,28,1,1,,,1,0,1,1,
11684682,Bright sunny room in NYC!,116382,Anthony,Brooklyn,Crown Heights,40.67031,-73.94088,Private room,29,2,142,5/19/2019,3.54,5,0,610.6,4.3,
1767037,Small Cozy Room Wifi & AC near JFK,9284163,Antonio,Queens,Woodhaven,40.68968,-73.85219,Private room,29,2,386,6/19/2019,5.53,3,50,1659.8,4.3,
14378948,Small Room big bed close to train brooklyn,2373229,Antonio,Brooklyn,Bedford-Stuyvesant,40.69981,-73.94111,Private room,29,1,63,6/5/2019,1.78,2,18,233.1,3.7,
31691209,All set for guys dont miss out,51596474,Antony,Brooklyn,Gravesend,40.58453,-73.97172,Shared room,20,5,5,4/29/2019,1.01,12,0,7.5,1.5,
31930706,Beautiful apartment in Gravesend(Girls share room),51596474,Antony,Brooklyn,Gravesend,40.58737,-73.96882,Shared room,20,7,2,4/21/2019,0.56,12,0,3,1.5,
33618303,The Pineapple tree (Girls shared room only),51596474,Antony,Brooklyn,Gravesend,40.58649,-73.97339,Shared room,24,11,2,5/2/2019,0.74,12,0,3,1.5,
32616111,Big  room!!! (only for GUYS),51596474,Antony,Brooklyn,Gravesend,40.58539,-73.96984,Shared room,28,9,2,4/16/2019,0.55,12,0,3,1.5,
34228341,A.Hamilton(for GUYS only),51596474,Antony,Brooklyn,Bay Ridge,40.62638,-74.01837,Shared room,18,9,1,6/15/2019,1,12,0,1.5,1.5,
33666119,Alexander Hamilton( For Guys ONLY),51596474,Antony,Brooklyn,Bay Ridge,40.62329,-74.02136,Shared room,24,10,1,6/20/2019,1,12,0,1.5,1.5,
34228857,B Hamilton( For GUYS ONLY),51596474,Antony,Brooklyn,Bay Ridge,40.62703,-74.01952,Shared room,22,5,1,,,12,0,1,1,
32942981,Welcome in the Sam Suite (only for GUYS),51596474,Antony,Brooklyn,Gravesend,40.58462,-73.97155,Shared room,25,10,1,,,12,0,1,1,
32935986,Uniware( only for GUYS),51596474,Antony,Brooklyn,Gravesend,40.58527,-73.96871,Shared room,28,10,1,,,12,0,1,1,
17794915,Modest West Harlem Room Nearby Columbia University,121585653,Ari,Manhattan,Harlem,40.81733,-73.95413,Private room,25,1,1,,,1,0,1,1,
34422726,Home away from home,234422924,Arlene,Bronx,City Island,40.8439,-73.78792,Private room,29,1,2,6/16/2019,1.43,1,18,3,1.5,
28071998,Cozy room in a three-bedroom House,47516406,Arthur,Queens,Woodhaven,40.69139,-73.86086,Private room,10,7,4,10/8/2018,0.41,2,180,6,1.5,
13952801,Greenpoint Artist Loft,25938509,Ashley,Brooklyn,Greenpoint,40.72675,-73.94219,Private room,25,7,2,12/6/2016,0.06,1,0,3,1.5,
30448678,Bed in a shared male room2,224074972,Askhat,Brooklyn,Bedford-Stuyvesant,40.694,-73.94355,Shared room,30,2,18,7/7/2019,2.57,4,192,27,1.5,
30425766,Bed in a shared male room,224074972,Askhat,Brooklyn,Bedford-Stuyvesant,40.69218,-73.9439,Shared room,30,2,14,5/20/2019,1.92,4,224,21,1.5,
36022650,Charming entire apartment in Hell's Kitchen,2967377,Aude,Manhattan,Hell's Kitchen,40.76279,-73.99463,Entire home/apt,15,2,1,,,1,139,1,1,
20714517,Brooklyn Palace,139623237,Audra,Brooklyn,Flatlands,40.61802,-73.92866,Private room,30,2,13,5/31/2019,0.59,1,292,19.5,1.5,
17367175,PRIVATE ROOM - Sunny and Spacious - Brooklyn Loft,4120523,Aurelien,Brooklyn,Williamsburg,40.70616,-73.92918,Private room,29,2,58,2/11/2019,2.02,2,0,214.6,3.7,
16275030,Beautiful Bed-Stuy Room,106442885,Ava,Brooklyn,Bedford-Stuyvesant,40.68865,-73.93684,Private room,29,1,139,6/24/2019,4.43,2,2,597.7,4.3,
20624541,Modern apartment in the heart of Williamsburg,10132166,Aymeric,Brooklyn,Williamsburg,40.70838,-73.94645,Entire home/apt,50,5,3,1/2/2018,0.15,1,73,4.5,1.5,
34259050,One little beautiful room in an 3bedroom apartment,258671946,Basil Walker,Bronx,Longwood,40.82654,-73.90516,Private room,27,2,7,6/16/2019,3.5,1,60,10.5,1.5,
30063759,Cozy Manhattan Hideaway,14859699,Beau Augusto,Manhattan,Washington Heights,40.83649,-73.94383,Private room,29,134,1,,,1,0,1,1,
17045913,Live Like a Local In GREENPOINT,40134417,Ben And Jane,Brooklyn,Greenpoint,40.73076,-73.95575,Entire home/apt,20,4,17,3/20/2018,0.58,1,0,25.5,1.5,
9768765,Room in quiet Brooklyn home,50369736,Benjamin,Brooklyn,Kensington,40.64637,-73.97863,Private room,24,18,1,1/29/2016,0.02,1,0,1.5,1.5,
16976267,Large Room in Queens,113558700,Berat,Queens,Rego Park,40.72804,-73.86147,Private room,30,1,74,6/9/2019,2.53,3,358,273.8,3.7,
17430853,Small room in Queens,113558700,Berat,Queens,Rego Park,40.72749,-73.86035,Private room,30,1,61,6/8/2019,2.17,3,361,225.7,3.7,
17029902,Midsize room in Queens.,113558700,Berat,Queens,Rego Park,40.72727,-73.86223,Private room,30,1,59,5/19/2019,2.01,3,89,218.3,3.7,
3359315,Sublet near Columbia University,16948705,Berhani,Manhattan,Harlem,40.81742,-73.95358,Private room,22,10,3,8/8/2015,0.05,1,0,4.5,1.5,
16276294,Rental in a Uptown Cozy Apartment,32625342,Bianca,Bronx,Kingsbridge,40.88467,-73.90575,Private room,30,4,11,5/15/2019,0.35,2,0,16.5,1.5,
32222756,Cozy Room in Townhouse Apartment,32625342,Bianca,Bronx,Kingsbridge,40.88316,-73.90586,Private room,30,4,8,4/30/2019,1.76,2,0,12,1.5,
32342541,Room Nearby train station to Times Square NYC,242831353,Blanca,Queens,Long Island City,40.75204,-73.9226,Private room,30,3,14,6/29/2019,3.41,1,77,21,1.5,
296844,HISTORIC WILLIAMSBURG BKLYN #1,839679,Brady,Brooklyn,Williamsburg,40.71653,-73.95554,Private room,30,3,24,12/4/2013,0.28,3,0,60,2.5,
23466360,Comfy Brooklyn Studio,111782745,Brian,Brooklyn,Williamsburg,40.70477,-73.93206,Shared room,26,2,8,4/7/2018,0.48,2,0,12,1.5,
22177388,Historic Crown Heights Cute Sunny Bedroom,1834034,Brittney,Brooklyn,Crown Heights,40.67206,-73.93446,Private room,25,4,7,6/4/2018,0.37,1,174,10.5,1.5,
34869203,Sunset House,107234799,ç¿,Brooklyn,Sunset Park,40.64943,-74.01018,Private room,27,15,1,7/1/2019,1,1,0,1.5,1.5,
19476630,Cozy self contained room with twin size bed,42561290,Carla,Brooklyn,East New York,40.66168,-73.86665,Private room,25,1,29,6/11/2019,1.17,4,319,72.5,2.5,
27507663,ExÃ³tico,207396117,Carlos,Queens,Sunnyside,40.74233,-73.9125,Shared room,30,1,30,3/4/2019,2.78,1,157,75,2.5,
29561222,Quite and Comfortable,222559543,Carmen,Brooklyn,East New York,40.6626,-73.87731,Private room,29,1,59,7/5/2019,7.25,2,54,218.3,3.7,
22481840,MODERN & SPACIOUS PAD!5MINS TRAINS,162572530,Carmen,Brooklyn,Bushwick,40.68328,-73.90783,Entire home/apt,28,2,13,6/11/2018,0.72,1,0,19.5,1.5,
16927533,Studio with amazing view,3737986,Carolann,Manhattan,Financial District,40.70588,-74.0159,Entire home/apt,12,300,1,,,1,0,1,1,
28270998,Charming bright and brand new Bed-Stuy home,647528,Caterina,Brooklyn,Bedford-Stuyvesant,40.69508,-73.95164,Entire home/apt,10,3,5,7/2/2019,0.51,1,0,7.5,1.5,
16164399,Lovely 3 Bedrm Apt Perfect for Groups & Families,1538057,Catherine,Brooklyn,Bedford-Stuyvesant,40.69501,-73.93363,Entire home/apt,25,2,50,6/15/2019,1.65,1,6,185,3.7,
35009785,Shared room sofa bed (girls only),197368927,Cebile,Brooklyn,Sheepshead Bay,40.60911,-73.95257,Shared room,20,2,1,,,8,32,1,1,
30310318,Private cozy spacious bedroom Queens NY,144714634,Char,Queens,Flushing,40.73872,-73.82863,Private room,29,1,49,7/7/2019,7.14,1,168,181.3,3.7,
23078172,Affordable & Convenient,43352661,Charles,Manhattan,Washington Heights,40.84502,-73.94078,Shared room,25,1,51,5/26/2019,2.99,3,365,188.7,3.7,
21935569,Tiny (but comfy!) Private room Manhattan,43352661,Charles,Manhattan,Washington Heights,40.84344,-73.93922,Private room,20,1,21,6/20/2019,1.1,3,291,52.5,2.5,
25909160,Simple Private Rm w/ Futon in the Bronx/ Storage,144119993,Charles,Bronx,Fordham,40.85801,-73.88247,Private room,21,1,9,8/5/2018,0.7,2,0,13.5,1.5,
26190785,Minimalistic private room w twin bed in the Bronx,144119993,Charles,Bronx,Belmont,40.85609,-73.88391,Private room,30,1,9,8/2/2018,0.71,2,0,13.5,1.5,
28777497,Gorgeous Cozy Brooklyn apartment suite,99133678,Chelsea,Queens,Ridgewood,40.7092,-73.91246,Private room,25,1,1,,,1,0,1,1,
6743346,Wildlife Loft Living room adventure,5556571,Chris,Brooklyn,Williamsburg,40.70645,-73.9379,Shared room,25,1,25,4/28/2019,0.5,3,358,62.5,2.5,
13726934,East Village Manhattan NYC Sofas!,2208993,Chris,Manhattan,East Village,40.72376,-73.98303,Shared room,30,3,10,5/19/2019,0.27,3,0,15,1.5,
36280646,Cable and wfi L/G included.,272872092,Chris,Queens,Forest Hills,40.73657,-73.85088,Entire home/apt,16,9,1,7/7/2019,1,1,322,1.5,1.5,
14011511,Private Room Beautiful Apartment,15929157,Christina,Brooklyn,East New York,40.67424,-73.88136,Private room,29,30,12,11/1/2018,0.38,3,193,18,1.5,
17738717,Clean Cosy Bedroom w/Desk 10min to JFK & Big Mall,6166708,Christine & Einstein,Queens,Rosedale,40.65252,-73.73425,Private room,22,1,59,5/17/2019,2.1,1,0,218.3,3.7,
27336782,Cute room  45min Manhattan  20 LGA 20 JFK 2Peop,205999048,Clara,Queens,Flushing,40.73717,-73.80847,Private room,30,1,16,6/23/2019,1.46,1,153,24,1.5,
21394087,The Hideaway Upstairs,145242566,Corey,Manhattan,Harlem,40.81807,-73.95487,Private room,30,3,86,6/24/2019,4.32,2,0,318.2,3.7,
21408195,The Manhattanville,145242566,Corey,Manhattan,Harlem,40.81956,-73.95277,Shared room,25,3,61,6/23/2019,2.99,2,7,225.7,3.7,
22530070,Suite 18 - Private Room w/ bath,99296570,Daisy,Brooklyn,Brighton Beach,40.58195,-73.95789,Private room,30,1,70,6/23/2019,3.97,5,193,259,3.7,
27612925,Shared room with bunk beds,208367810,Dan,Brooklyn,Borough Park,40.64047,-73.99687,Shared room,25,3,8,1/2/2019,0.77,4,88,12,1.5,
17433291,Amazing Loft in the heart of Williamsburg,117941939,Daniel,Brooklyn,Williamsburg,40.71269,-73.96409,Private room,20,14,3,4/30/2018,0.11,1,277,4.5,1.5,
16778904,Quiet cozy apartment air-conditioned room,111433024,Danielle,Manhattan,Washington Heights,40.84353,-73.94201,Private room,25,3,34,5/31/2019,1.46,1,139,85,2.5,
21893604,Private Bedroom in West Village/Chelsea,1144452,Dante,Manhattan,Chelsea,40.74045,-74.00047,Private room,12,3,8,6/7/2019,0.59,1,37,12,1.5,
16159444,YOUR IDEAL HOME / 20steps to Subway,27977412,Daria,Brooklyn,East Flatbush,40.64583,-73.9483,Shared room,25,30,10,7/12/2018,0.32,4,332,15,1.5,
30795672,Private Room  non smoking female only near JFK,230396622,Darlena,Brooklyn,Brownsville,40.65872,-73.90951,Private room,29,4,6,6/21/2019,0.94,1,66,9,1.5,
28453441,BP- STYLISH SHARED Room 2ppl 10 MINS TO MANHATTAN,213208277,Darry,Brooklyn,Borough Park,40.64314,-73.99221,Shared room,30,5,7,6/14/2019,1,8,365,10.5,1.5,
22984650,Private room in Queens Village NY Near JFK.,143212135,David,Queens,St. Albans,40.70419,-73.75116,Private room,25,3,60,6/9/2019,3.61,1,350,222,3.7,
16161819,Cozy Room in a 2BR Apartment,83732495,Debbie,Brooklyn,East Flatbush,40.65221,-73.93634,Private room,21,5,4,4/30/2017,0.15,1,0,6,1.5,
22235441,Safe Overnight Crash Pad Near JFK LGA and NYC,72838963,Deborah,Queens,Jamaica,40.68411,-73.79688,Shared room,19,1,26,6/10/2019,1.4,2,138,65,2.5,
18619857,Ms. Dee Comfort Zone,97794385,Debra,Queens,Jamaica,40.68555,-73.79416,Private room,30,1,15,6/28/2019,0.67,2,90,22.5,1.5,
22103438,Dee's Rest Easy,161468583,Dee,Brooklyn,Flatbush,40.64429,-73.95732,Entire home/apt,22,2,35,4/29/2019,1.83,1,312,87.5,2.5,
